293,小汤山站
294,北新桥路口西站
295,柏庄站
296,朝凤庵村站
297,焦庄村东站
298,黄营站
299,林荫家园北门站
300,建材城东路西口站
301,五彩城公交场站
302,京顺路口站
303,怡乐小桥站
304,河东站
305,祖村北站
306,兴隆城站
307,老城墙站
308,杨各庄(平谷)站
309,大松垡南口站
310,莲花山路口站
311,马辛庄东站
312,大王庙站
313,东关村站
314,东红山站
315,武圣路站
316,育芳园北路东口站
317,四通桥东站
318,兴源路口北站
319,二拨子站
320,甘家口大厦站
321,红牛站
322,马屯站
323,狮子营家园站
324,立垡村站
325,官高东站
326,沙滩站
327,大溶洞站
328,马坡车站
329,石窝路口站
330,骑士乐园站
331,下坡屯小区站
332,先农坛站
333,北程庄东路站
334,南小区站
335,廊坊大学城南门站
336,凉水河桥北站
337,关辛庄站
338,张辛站
339,兴云南站
340,西集镇安辛庄站
341,西潞苑小区站
342,小浮坨站
343,打铁庄站
344,大城子村站
345,陈桁站
346,温泉大酒店站
347,塔洼站
348,城关街道办事处站
349,嘉园二里东门站
350,穆家峪站
351,建材城东里站
352,仁和花园站
353,西马坡站
354,积水潭桥东站
355,王家铺站
356,军庄路口站
357,前山村站
358,未来科技城东路桥南站
359,东教场胡同站
360,通州杨庄站
361,延庆永安小区站
362,椿树馆街站
363,西单路口南站
364,清苑路北口站
365,太平庄站
366,香江北路东口站
367,赵全营东站
368,天堂河东区站
369,北太平桥南站
370,古城站
371,夏场南站
372,南四位村站
373,世华水岸小区站
374,牛山酒厂站
375,密云沿湖小区(城后街)站
376,漷县市场站
377,沿河卫生院站
378,唐指山站
379,榆垡南站
380,马坡北站
381,西北旺镇政府站
382,一城总站
383,曹庄站
384,老公营站
385,骚子营站
386,北京国际图书城站
387,顺义三中站
388,三高科技园站
389,牡丹园北站
390,永丰六里屯北口站
391,七里庄站
392,高教园环岛东站
393,东翁站
394,中影基地站
395,朝来家园西区站
396,钟楼北桥北站
397,水堡子站
398,定府辛庄站
399,西芦垡站
400,金鸡台路口站
401,西便门站
402,翠屏小区站
403,老山西街站
404,沙岭梁站
405,青云店站
406,劲松南路站
407,农委站
408,大井站
409,六渡站
410,七里庄路东口站
411,金顶南路站
412,千里马环岛站
413,双榆树小区站
414,王峪沟站
415,黄山店村口站
416,五道河站
417,光华中路站
418,鼓楼桥西站
419,豆各庄路口西站
420,东方太阳城北门站
421,居庸关站
422,平乐园站
423,雁栖大街中路站
424,孙栅子站
425,辛力庄站
426,首邑上城小区站
427,大厂民族宫站
428,东葫芦峪站
429,大江洼站
430,景园街站
431,北甲地站
432,大杜社中学站
433,相各庄站
434,菓岭小镇南门站
435,天宁寺桥东站
436,高岭镇大屯站
437,北门村口站
438,东合盛站
439,旧县建雄小区站
440,常营路口东站
441,科创十街站
442,林荫家园站
443,西井站
444,应寺小学站
445,袁庄站
446,四海山东沟站
447,城隍庙站
448,莲花晴园站
449,地铁上地站
450,北关站
451,洙水站
452,北京站西站
453,琉璃河站
454,孟祖北站
455,姜村站
456,绿城枫景小区西口站
457,苏园路口站
458,娄子水东站
459,东土城路南口站
460,钥匙头站
461,北航沙河校区东门站
462,首钢小区站
463,白河涧站
464,建功北里站
465,檀州小区站
466,来广营东路站
467,岳家楼桥站
468,南海家园一里站
469,黑峪口站
470,地铁新宫站
471,安苑东里站
472,平谷中学站
473,良正卷站
474,机场北库站
475,泰豪路口站
476,饲料生产基地站
477,新安屯村站
478,桥煤涧口站
479,育慧东路站
480,大东各庄村站
481,孝女台站
482,洋桥西站
483,宋庄美术馆站
484,东邵渠西庄头站
485,夏村东口站
486,西军庄站
487,乔庄北街站
488,巴克寓所站
489,六区站
490,平谷北小区站
491,燕郊冶金医院站
492,小马坊村站
493,昌平豆各庄路南口站
494,房山西街站
495,黄垡北站
496,沙湖站
497,康各庄村口站
498,辛店银行站
499,中堡站
500,横一条北口站
501,日上东门站
502,西邵渠酒厂站
503,姜家台站
504,仙栖洞站
505,张坊中学站
506,七圣南路站
507,清河小营东路站
508,马坊小屯站
509,薛庄村口站
510,三营门东站
511,新建村站
512,颐瑞中二路站
513,平房站
514,邓庄站
515,东庄子站
516,安家庄站
517,雪山村站
518,四海小学站
519,马营村站
520,董家坟站
521,郁花园二里东门站
522,北刘村站
523,高楼金村站
524,赵庄站
525,上地桥西站
526,回龙观(龙泽)站
527,于家务村南口站
528,王辛庄站
529,桑普科技园站
530,郑家台东站
531,北务路口站
532,白羊城站
533,龙华园站
534,月季园东里站
535,丁村路口站
536,县医院站
537,芍药居站
538,军屯西口站
539,国泰超市站
540,南口马坊站
541,锡拉胡同站
542,新一街村站
543,西小庄科站
544,顺义西单站
545,马家屯站
546,渔政站
547,巴沟村站
548,坨里北站
549,高庄子站
550,清源西里站
551,黄土店站
552,尖岩站
553,六合园站
554,桥湾站
555,四根旗杆站
556,云佛度假村站
557,西马坊村站
558,卧龙村站
559,于地新村站
560,丰台医院站
561,兴隆庄(峪蔡路)站
562,彰化路西口站
563,大东流站
564,石佛村站
565,富各庄北站
566,华侨农场站
567,昌平南大街站
568,双塘涧北站
569,北老君堂路口站
570,苏村站
571,北太平路口站
572,亚运村站
573,望京科技创业园站
574,密云鼓楼西站
575,景陵村站
576,衙门村站
577,狮子营西门站
578,单店站
579,马驹桥商业街站
580,大兴半壁店西站
581,西沙窝村北站
582,北京人民轴承厂站
583,前苑上村站
584,马坡花园南站
585,杨堤村站
586,通州中医院站
587,四马台水泉站
588,西马厂站
589,牛山二中站
590,三峪站
591,崇文门外站
592,慧忠路西口站
593,史中坞站
594,天华北街西口(大雄城市花园)站
595,兴盛街西口站
596,东良各庄站
597,兴寿北站
598,北汽国际会议中心站
599,北苑路北站
600,八家路站
601,柏查子站
602,汇能站
603,垡头南站
604,九台庄园东站
605,青龙涧站
606,园博园站
607,大石窝镇政府站
608,四合村北站
609,北航(北门)站
610,康陵园站
611,神山路口站
612,燕京啤酒厂站
613,前台头站
614,清华大学分校站
615,大峪子(胡熊路)站
616,和平西桥南站
617,霍营乡站
618,朱庄路口站
619,宏盛家园南站
620,王府井路口北站
621,南环大桥东站
622,军民结合产业园南站
623,红石门站
624,槐房西路站
625,中海九号公馆小区站
626,西磁各庄站
627,现代花园站
628,太师屯(密古路)站
629,大槐树站
630,王府井北口(华侨大厦)站
631,龙潭站
632,环湖小区北口站
633,通州靛庄站
634,天富大街东站
635,滨河西里北站
636,药厂站
637,丽泽桥南站
638,上金山站
639,大山子路口东站
640,团结湖公园站
641,五号井小区站
642,和平里西街站
643,四中站
644,北宅村东站
645,大回城站
646,石峡站
647,常乐寺站
648,南彩派出所站
649,六圈站
650,万万树小区站
651,前榆村站
652,黄村西大街站
653,双高小区站
654,大豆各庄村站
655,万寿路站
656,黄杉木店路北口站
657,赵庄村口站
658,南宫站
659,翟里村站
660,金泰丽富嘉园站
661,太平路西口站
662,通州北苑路口东站
663,半岛广场北门站
664,六郎庄站
665,牛坊路口站
666,石炮沟站
667,漷马路口站
668,一渡河站
669,黄土梁站
670,密云建委站
671,抗峪站
672,铁四局站
673,赵家庄站
674,黄瓜园村站
675,房山煤矿机械厂北站
676,地铁复兴门站
677,埝坛村站
678,北小区站
679,采育镇政府站
680,赵庄子北站
681,南召中学站
682,清源北路站
683,水墨林溪小区站
684,西石府站
685,西拨子站
686,燕化附中站
687,运乔嘉园站
688,红民村站
689,西陈各庄站
690,港馨西区站
691,昌平永安路站
692,十渡卫生院站
693,双泉堡站
694,平谷供电局站
695,回南北路站
696,密云实验中学站
697,于庄站
698,望京花园西区站
699,怀柔金融大厦站
700,海淀桥西站
701,亦庄北环西路站
702,华龙小区站
703,兴化路站
704,顺义卧龙环岛站
705,捧河岩站
706,和平东桥北站
707,密云电信站
708,西贯村站
709,大兴二职西站
710,望京西园三区东门站
711,燕山大酒店站
712,苏宁物流站
713,现代城西路站
714,光明楼站
715,地铁三元桥站
716,翁家铺站
717,雨润站
718,东牛角峪路口站
719,泥洼站
720,北军营站
721,东三旗兰苑站
722,吕村站
723,清水镇政府站
724,十渡北站
725,高两河东站
726,南新园站
727,丽水园北站
728,南苑机场候机楼站
729,玉瓃园小区站
730,通州天赐良园站
731,蚂蚁沟站
732,公庄站
733,梨树沟站
734,大回城西口站
735,觅子店路口站
736,高崖口乡站
737,朝阳公园站
738,大胜岭站
739,半沟村站
740,永丰路口西站
741,河南村小区站
742,银河大街站
743,上两河站
744,白桥大街站
745,林屯村站
746,看丹桥东站
747,小汤山广场站
748,魏善庄中学站
749,新纪元石材市场站
750,燕郊燕京新城小区站
751,姚村站
752,上码头站
753,李家坟站
754,皮各庄南口站
755,良庄路口站
756,海鶄落村委会站
757,榆文街南口站
758,百子湾家园南站
759,经海五路站
