131路,6143|2798|10915|908|3731|10506|1258|7069|1922|3942|5539|5997|1626|8436|7755|8387|8781|573
132路,2798|9375|7182|10915|2174|5855|7582|845|3249|12037|5061|9968|1883|8332|8280|7896|9421|6557|3659|4986|5535|8781|573|1624
133路,3018|8074|10807|10641|2707|2331|9550|3475|4395|4423|9672|9908|5483|865|6194|10979|929|408|4373|9953|6333|5764|3898|1561|4104|8640
138路,2891|1050|9589|2135|11960|1919|11037|2395|3548|2231|10697|6071|7529|5707|5707|934|4337|3083|10857|1985|4125|4942|1793
139路,7564|8638|8815|9114|7038|5646|2547|803|3198|1944|3138|714|9380|10228|10498|8285|7922|5149|8356|3564
140路,10320|5490|620|7976|9184|7229|1989|939|2358|7922|5149|8356|9620|11591|1977|5822|7970|11053|3682|5152|3083|10857|4125|4942|419|5727|9884|1793
2路,1075|10072|146|11528|11381|4405|1586|4069|11775|11984|8874|8693
20路,3018|4846|7681|11528|332|3026|8961|4405|6092|1914|9186|5738|8140|10320
21路,2478|5926|5111|4717|8912|250|2721|8606|6455|1223|10222|8190|1125|2384|11244|2708|3818|1543|4131|5409|11235|3822|3677|10063|10951|289
22路,2721|11441|369|5045|6504|5235|2123|3275|8384|1516|2792|8421|9767|2574|9553|363|8612|10618|6092
23路,6641|4643|555|7499|2891|1050|5124|10698|7912|10962|10433|1433|4787|9754|2216|5082|285|3852|1405|554|4826|8611|11889|6076|5318|3768
24路,10915|7182|2747|9375|6143|4088|6263|9617|2827|10940|939|10642|791|1499|7822|7706
25路,10721|2421|2445|4631|7561|4842|10134|7718|8824|1807|11089|4464|11524|259|11528|3585|4846
26路,401|3459|1522|3599|10714|5640|1797|3205|7958|3764|11336|9151|3574|2070|5975|5706|10070|5333|10591|4130|10264|5779|10354|287|10099|5078|3156|7898|8739|7128|1424|7438|9676
27路,7967|2012|783|9257|8960|2863|6127|40|8753|3719|3422|11795|9151|9870|354|11720|3033|10361|4948|9431|8858
28路,4836|4528|10643|2773|8215|6331|2405|6719|883|5691|3941|5390|8288|12025|1706|8425|3564
29路,10320|10228|1926|4290|2332|5633|3769|315|5564|7320|7180|2110|11311|9573|4528|4836
