#node1Id,#node2Id,buses
10246,4576,快速直达专线78路
8128,8997,399路
11058,123,536路
11477,6860,密62路
3391,9935,密38路
1365,4937,顺17路
10936,9991,Y17路|Y20路|Y21路|Y23路|Y25路|876路支|876路|Y21路区间|921路|Y04路|Y03路|Y05路|Y08路|Y09路
1197,975,兴22路
11123,7746,密6路|密6路支线
10930,7387,H01路|H04路|H17路
11193,7048,昌11路区间|昌13路空军第二十三厂
11781,2498,昌13路空军第二十三厂
10426,2760,425路
3372,537,125路
10288,5475,H40路|H09路|H22路支线|H14路|H60路|H22路区间|H63路|H22路|H21路|H37路
10099,7365,快速直达专线139路
10347,4882,顺46路
2060,7306,顺28路区间道口
10004,6988,435路|669路|快速直达专线13路
10224,4788,房20路
10135,3016,493路
1493,3640,965路|专91路|327路
1082,7752,地铁14号线东段
2173,548,房14路
7708,8243,顺17路区间后岭|顺17路|顺17路区间大洛泡
11432,4660,房11路
3780,4726,房15路专线
11265,7665,开发区6路
10877,9238,816路
11282,7498,550路
11285,8798,376路|昌11路|870路|883路|883路快|昌36路|昌33路
11437,4617,昌11路|昌70路
10588,1134,快速直达专线46路|957路|485路|快速直达专线64路|369路|676路
2450,4729,专41路
2910,7166,昌67路
8021,9962,通6路
7038,836,39路|623路
6943,798,通州森林公园1路
5746,6421,昌59路
3145,7132,平13路
2958,8014,486路
10719,8113,平43路|平38路
10906,6240,981路
8024,9937,郊100路
2051,6095,642路|887路
6886,8337,532路
2579,3479,992路|960路
4249,9408,87路|437路
4102,9546,密17路
6958,7625,密22路|密23路
5606,857,专12路
7288,7967,489路|588路环线|632路
7165,7867,938路卓达三溪塘专线|938路
4698,6255,890路担礼
1129,5991,昌3路
10215,3482,926路|兴20路
10306,1240,11路|363路|455路
4377,9462,兴18路
4558,672,961路
3489,7694,密51路
9378,9709,顺22路
3504,3538,房15路|房18路|房42路|房41路|房26路
5737,6507,密50路|密51路|密38路支线
10344,11017,密5路
5415,8410,平3路
6928,955,兴52路|兴15路|兴16路|兴18路|827路|366路快|968路|969路|郊81路|兴1路|840路|兴20路|366路|369路
4659,7981,Y24路|874路
7927,9900,619路
10915,6143,935路|850路
1938,597,856路|870路|537路
4898,5594,密17路支1|密17路支2
6650,8029,665路
6780,8059,兴25支路|兴25路
2003,5231,兴23路
2057,7355,昌68路|昌12路
4202,9888,597路|快速直达专线112路|308路
2129,7967,33路|481路
4527,5316,密1路|密1路晚班|密11路|密1路西线
6873,8466,958路|特3路|特12路
2127,5318,102路|105路
10177,5180,兴26路
4736,5886,813路
2004,6549,兴17路
6887,9655,925路
4664,5275,兴32路区间
3119,417,夜34路
6899,8200,专80路环线
1119,4758,运通107路|402路|405路
5705,6838,379路|510路|81路|专44路
1053,5399,昌27路|905路|464路|465路|426路|430路|432路|520路|快速公交3线|966路|617路|快速公交3线区间|751路|621路|984路
3422,4343,332路|运通106路|运通105路|563路|夜8路|特4路|特19路
2943,9475,金融街1号专线
2961,9295,684路|夜18路|夜28路|夜24路|13路|夜36路|674路|特16路
7846,9410,顺20路区间|顺33路|顺1路|顺26路|顺23路|顺24路|顺16路|顺19路
5705,6853,510路|81路|专44路
1937,578,659路|847路
11435,3298,384路|447路|384路区间
11327,4378,130路
4487,7049,空港3路
4457,7359,顺12路
2122,5357,通44路
1921,6383,顺22路
4328,7314,观光3线
1626,9331,快速直达专线71路
3248,7465,专17路|97路
10042,5195,昌11路
3201,5216,通12路专线|通12路
1213,2474,967路|480路|840路
3299,8288,805路
5677,8476,昌21路
5616,7751,房19路|836路张坊|房41路
3901,9272,快速直达专线40路|485路|369路|676路|快速直达专线109路
2403,3874,423路|483路
2120,5374,顺31路
2163,6269,476路|305路|490路|快速直达专线60路
10002,4250,运通116路|运通112路|336路|972路|快速直达专线26路|977路
4638,5553,平14路
10505,1884,591路
4113,8140,9路|特2路|673路
3026,9696,110路
10442,1185,71路|524路
1130,3293,H43路|936路青龙峡|H11路|H29路|H30路|H32路|H31路|H33路
10015,5457,平37路|平44路
10407,10415,419路|988路|117路|421路|夜25路|973路|985路|502路|635路
1317,1422,901路|831路
6937,880,966路|530路|621路|415路
5351,9086,941路|597路|337路|959路|夜5路|327路
8052,8366,运通110路|114路|334路|运通109路|运通104路|夜12路|347路|437路|658路|360路快|360路|特10路|632路
1069,5218,695路|618路
7720,8031,Y40路
1384,2065,502路
5999,6599,836路张坊
1155,3029,736路|958路|959路|634路
1120,2048,913路
5318,9413,14路|102路|66路
5434,9586,房28路
11473,4181,密3路
11058,8332,471路
2689,4993,地铁8号线
11424,4674,H14路
11113,6454,通48路|通49路|808路|809路|通19路
6541,9169,680路|51路
2386,5363,房28路
11096,9287,专115路
2433,4894,快速直达专线140路
2289,7658,房2路|房36路|房36路区间
4647,5479,通19路专线|临8路
4207,9878,专71路
1951,7393,平11路
3204,860,905路|301路|653路|快速公交3线|快速公交3线区间|984路
10438,1297,927路|976路
1466,2585,684路|116路|夜10路|106路
1046,4121,467路|515路|966路|985路
3114,438,兴32路区间
1182,4076,351路
5322,9389,906路|831路|837路
1289,5666,房19路
4300,540,357路
1343,2469,684路|567路|夜28路
341,76,郊89路
11483,4093,密66路|密68路
11454,4384,昌19路
1907,863,547路
10624,9095,692路
1807,8824,25路|599路|128路
2073,8477,顺27路
7042,7793,505路|运通114路|运通113路|运通115路|运通110路|334路|79路|740路公益西桥|952路|121路|740路|658路|611路|355路|特9路|运通118路|61路|981路|982路|983路
6642,8151,928路
4509,6868,634路
4135,9277,北小营-东直门通勤快车|980路
10809,281,兴46路|兴30路|兴27路|兴28路
1940,7490,兴1路
1445,2780,通15路
1057,7990,391路|897路
1703,8536,房35路
3385,378,H52路
1123,4655,H55路环线|863路
1294,4277,兴19路
1821,362,5路|381路|84路|49路|夜20路|456路|特12路|676路|410路
11353,4074,923路
11179,7146,昌22路|昌28路|昌16路|昌2路|昌1路|昌53路|922路|925路|昌51路区间|昌37路
11525,2356,802路
2129,7911,33路|85路|481路
11201,5598,昌20路
10948,195,Y20路|Y21路|876路支|876路|Y04路
250,4717,653路|92路
2371,5493,119路|专22路
2641,2783,房13路|房21路|房23路|房22路|房25路|房24路
2031,7554,Y24路
2488,4315,顺11路
3344,771,房16路
6868,8586,634路
2030,8899,专70路|快速直达专线126路|快速直达专线125路|670路上东廓|670路
9232,9856,顺35路
1001,4550,空港7路|923路|顺55路|918路关上
6847,8791,641路
1312,2770,Y33路
2155,688,425路|运通101路|658路|614路|夜30路|361路|584路
1347,2406,密3路
5326,8037,密27路
11165,7295,房11路
373,4802,专74路|专73路
7926,8641,351路
2012,783,27路|40路
10735,9293,825路
2273,6460,特5路
11213,5489,顺28路|顺28路区间道口
161,6928,829路|969路
2644,2752,密15路
3908,9243,兴17路
1702,8523,740路公益西桥|740路|快速直达专线75路
9133,9523,890路担礼
10455,1093,房17路|房16路|房19路
8952,9027,兴13路南线
6505,8214,开发区2路|开发区5路
11017,6122,密5路
8509,92,地铁15号线
1132,4561,郊81路
3366,548,833路
1281,3072,通13路
3984,3991,房38路
5984,6612,821路
5866,836,504路|39路|957路|434路|43路|夜24路|623路
5731,856,638路|快速直达专线91路|602路|专72路|440路|976路|986路
7281,971,顺13路
4544,7719,平24路|平23路|平22路|平21路|平42路|平41路|平35路花峪|平47路
